Division Name,Promo Name,Bill No,Barcode,Article Name,Section Name,Site Name,Bill Date,Category Name2,Category Name1,Category Name4,Department Name,MRP,HSN Code,Short Name,Qty,Sale MRP,Selling Amt,Tax Amount,Tax Percent,Taxable Amount,Vendor Name,Sales Type,Partner Name,City,Discount Amount,ASM,Site Short Name,Color
Accessories,"",F90/FCM/04474/Mar/26,199025035439,Z20104ID-PKBL,Womens,V S CORP-KOTHAPET-HYD,2026-03-20 11:52:54,M,SOCKS,SS 2025,Performance,699,61159500,3PK W ACTIVE NON TERRY L,1,699.00,699.00,33.28,5.00,665.72,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Hyderabad,0.00,Kailash -South/Ajay Bahadur,1013500019,PINK/BLUE
NSM,"",F90/FCM/04474/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP-KOTHAPET-HYD,2026-03-20 11:52:54,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,1,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Hyderabad,0.00,Kailash -South/Ajay Bahadur,1013500019,PAPER BAG
Accessories,"",F90/FCM/04474/Mar/26,196311586798,S20022ID-GRY,Womens,V S CORP-KOTHAPET-HYD,2026-03-20 11:52:54,M,SOCKS,SS 2022,Performance,599,61159600,3PK WOMENS 1/2 TERRY LOW,1,599.00,599.00,28.52,5.00,570.48,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Hyderabad,0.00,Kailash -South/Ajay Bahadur,1013500019,GRAY
Footwear,SS26Fest190326FTW-ML,F90/FCM/04474/Mar/26,198376184742,177390-NAT,Womens,V S CORP-KOTHAPET-HYD,2026-03-20 11:52:54,7,SHOE,FCF SS25,STREET,8499,64029990,TRES-AIR UNO - AH - MAZIN,1,8499.00,6799.20,1037.16,18.00,5762.04,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Hyderabad,0.00,Kailash -South/Ajay Bahadur,1013500019,NATURAL
Accessories,"",B06/FCM/04641/Mar/26,196642364799,S20041ID-WNVG,Mens,V S CORP - DILSUKHNAGAR,2026-03-20 11:20:13,L,SOCKS,SS 2022,Performance,749,61159600,3PK MENS 1/2 TERRY LOW CU,1,749.00,749.00,35.66,5.00,713.34,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Hyderabad,0.00,Kailash -South/Ajay Bahadur,MFN0156,WHT/NAVY/GRAY
Footwear,"",B06/FCM/04641/Mar/26,199252042637,246210-LTBL,Mens,V S CORP - DILSUKHNAGAR,2026-03-20 11:20:13,8,SHOE,CF AW25,Performance,17999,64041190,SKX AERO BURST,1,17999.00,17999.00,2745.62,18.00,15253.38,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Hyderabad,0.00,Kailash -South/Ajay Bahadur,MFN0156,LT.BLUE
NSM,"",B06/FCM/04641/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP - DILSUKHNAGAR,2026-03-20 11:20:13,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,1,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Hyderabad,0.00,Kailash -South/Ajay Bahadur,MFN0156,PAPER BAG
NSM,"",B06/FCM/04642/Mar/26,75034389302Z,Z3PAPER-AST,POS,V S CORP - DILSUKHNAGAR,2026-03-20 11:46:26,Z3,CARRY BAG,SS 2018,CARRY BAGS,0,48194000,PAPER CARRY BAG Z3,1,0.00,0.00,0.00,18.00,0.00,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Hyderabad,0.00,Kailash -South/Ajay Bahadur,MFN0156,PAPER BAG
Footwear,"",B06/FCM/04642/Mar/26,198376537180,405558LI-BBK,Boys,V S CORP - DILSUKHNAGAR,2026-03-20 11:46:26,2,SHOE,CF AW24,Casual,3299,64041190,GO RUN 400,1,3299.00,3299.00,503.24,18.00,2795.76,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Hyderabad,0.00,Kailash -South/Ajay Bahadur,MFN0156,BLACK
Footwear,"",B06/FCM/04643/Mar/26,199025286596,216784-DKTP,Mens,V S CORP - DILSUKHNAGAR,2026-03-20 13:21:26,9,SHOE,AW 2025,Performance,9999,64041990,GO WALK 8 - PELAYO,1,9999.00,9999.00,1525.28,18.00,8473.72,SKECHERS SOUTH ASIA PVT LTD - NDC WH,SALE,V S CORP,Hyderabad,0.00,Kailash -South/Ajay Bahadur,MFN0156,DARK TAUPE
